Sno,Accountid,score,Dec,Jan,Feb,Mar,Apr,May
2392,1.002E+11,80,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2393,1.002E+11,68,NonOTR,NonOTR,NonOTR,NonOTR,Default,Default
2394,1.002E+11,40,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2395,1.002E+11,44,Default,Default,Default,Default,Default,Default
2396,1.002E+11,49,OTR,Default,Default,Default,Default,Default
2397,1.00201E+11,44,OTR,NonOTR,NonOTR,OTR,Default,Default
2398,1.002E+11,89,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,Default
2399,1.002E+11,53,OTR,OTR,NonOTR,OTR,Default,Default
2400,1.002E+11,40,Default,Default,Default,Default,Default,Default
2401,1.00201E+11,67,Default,Default,Default,Default,Default,Default
2402,1.002E+11,55,NonOTR,OTR,NonOTR,OTR,NonOTR,NonOTR
2403,1.002E+11,61,OTR,NonOTR,NonOTR,OTR,NonOTR,OTR
2404,1.002E+11,69,NonOTR,NonOTR,NonOTR,OTR,NonOTR,NonOTR
2405,1.002E+11,32,OTR,OTR,NonOTR,OTR,OTR,NonOTR
2406,1.002E+11,77,Default,Default,Default,Default,Default,Default
2407,1.002E+11,62,Default,Default,Default,Default,Default,Default
2408,1.002E+11,73,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2409,1.002E+11,42,NonOTR,NonOTR,NonOTR,OTR,OTR,NonOTR
2410,1.002E+11,79,NonOTR,NonOTR,NonOTR,OTR,OTR,OTR
2411,1.002E+11,78,NonOTR,NonOTR,NonOTR,OTR,OTR,OTR
2412,1.00201E+11,57,NonOTR,NonOTR,NonOTR,OTR,Default,Default
2413,1.002E+11,53,NonOTR,Default,Default,Default,Default,Default
2414,1.002E+11,45,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2415,1.002E+11,49,NonOTR,NonOTR,NonOTR,NonOTR,Default,Default
2416,1.002E+11,72,NonOTR,NonOTR,NonOTR,NonOTR,Default,Default
2417,1.002E+11,54,NonOTR,NonOTR,OTR,Default,Default,Default
2418,1.002E+11,62,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2419,1.002E+11,72,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2420,1.002E+11,53,OTR,OTR,NonOTR,OTR,OTR,OTR
2421,1.002E+11,29,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2422,1.002E+11,48,NonOTR,NonOTR,OTR,Default,Default,Default
2423,1.002E+11,66,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2424,1.002E+11,73,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2425,1.002E+11,78,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2426,1.002E+11,32,Default,Default,Default,Default,Default,Default
2427,1.002E+11,50,NonOTR,OTR,NonOTR,OTR,NonOTR,NonOTR
2428,1.002E+11,41,OTR,OTR,NonOTR,OTR,OTR,OTR
2429,1.002E+11,69,OTR,OTR,NonOTR,OTR,NonOTR,Default
2430,1.002E+11,53,OTR,OTR,NonOTR,OTR,OTR,OTR
2431,1.002E+11,80,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2432,1.002E+11,62,OTR,OTR,NonOTR,OTR,OTR,OTR
2433,1.002E+11,45,OTR,OTR,NonOTR,OTR,OTR,OTR
2434,1.002E+11,19,OTR,OTR,NonOTR,OTR,OTR,Default
2435,1.002E+11,88,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2436,1.002E+11,66,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2437,1.002E+11,74,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2438,1.002E+11,53,OTR,OTR,NonOTR,OTR,NonOTR,NonOTR
2439,1.002E+11,34,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2440,1.002E+11,29,NonOTR,NonOTR,NonOTR,OTR,NonOTR,NonOTR
2441,1.002E+11,36,NonOTR,NonOTR,NonOTR,OTR,NonOTR,NonOTR
2442,1.002E+11,78,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2443,1.002E+11,36,OTR,OTR,NonOTR,OTR,OTR,NonOTR
2444,1.002E+11,84,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2445,1.002E+11,76,OTR,OTR,NonOTR,OTR,NonOTR,OTR
2446,1.002E+11,61,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,Default
2447,1.002E+11,50,OTR,OTR,NonOTR,OTR,OTR,OTR
2448,1.002E+11,42,OTR,OTR,NonOTR,OTR,OTR,OTR
2449,1.002E+11,57,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2450,1.002E+11,40,NonOTR,OTR,Default,Default,Default,Default
2451,1.002E+11,67,OTR,OTR,NonOTR,OTR,Default,Default
2452,1.002E+11,42,OTR,NonOTR,Default,Default,Default,Default
2453,1.002E+11,24,OTR,OTR,NonOTR,NonOTR,OTR,OTR
2454,1.002E+11,86,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2455,1.002E+11,62,NonOTR,OTR,NonOTR,OTR,NonOTR,NonOTR
2456,1.002E+11,62,OTR,OTR,NonOTR,OTR,OTR,OTR
2457,1.002E+11,56,OTR,OTR,NonOTR,OTR,OTR,OTR
2458,1.002E+11,71,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2459,1.002E+11,22,OTR,OTR,NonOTR,NonOTR,OTR,OTR
2460,1.002E+11,38,OTR,OTR,NonOTR,OTR,OTR,OTR
2461,1.002E+11,89,OTR,NonOTR,NonOTR,OTR,NonOTR,NonOTR
2462,1.002E+11,39,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2463,1.002E+11,81,OTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2464,1.002E+11,45,NonOTR,NonOTR,NonOTR,OTR,Default,Default
2465,1.002E+11,72,NonOTR,Default,Default,Default,Default,Default
2466,1.002E+11,37,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2467,1.002E+11,46,OTR,NonOTR,Default,Default,Default,Default
2468,1.002E+11,52,OTR,OTR,NonOTR,OTR,OTR,OTR
2469,1.002E+11,44,Default,Default,Default,Default,Default,Default
2470,1.00201E+11,27,Default,Default,Default,Default,Default,Default
2471,1.002E+11,64,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2472,1.002E+11,69,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2473,1.002E+11,63,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2474,1.002E+11,68,NonOTR,Default,Default,Default,Default,Default
